epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8937,0.82046,1.93476,1.17678,0.71431,0.42878,0.52005,0.42421,1.16108,7.44609,1.37204,0.000660436,0.000660436,0.000660436
2,79.0442,0.89979,1.44006,1.17997,0.77644,0.55887,0.56503,0.46156,1.30626,5.61784,1.40106,0.00132272,0.00132272,0.00132272
3,118.375,0.95103,1.27176,1.21145,0.59244,0.43968,0.43688,0.36669,1.31664,2.39084,1.4046,0.00198061,0.00198061,0.00198061
4,157.659,0.89576,1.10855,1.17815,0.84776,0.66642,0.65933,0.59074,1.08916,1.79571,1.3519,0.0019802,0.0019802,0.0019802
5,200.566,0.86272,1.0495,1.16863,0.85582,0.6468,0.68018,0.59824,0.96571,1.64034,1.25982,0.0019736,0.0019736,0.0019736
6,243.43,0.8416,1.00964,1.15248,0.93283,0.66609,0.71272,0.64224,0.90807,1.19665,1.19523,0.001967,0.001967,0.001967
7,287.99,0.77377,0.91259,1.11548,0.8365,0.48765,0.54141,0.47336,1.04328,1.9584,1.26885,0.0019604,0.0019604,0.0019604
8,331.705,0.77129,0.92581,1.12214,0.94478,0.6715,0.72008,0.66463,0.80824,1.33019,1.15203,0.0019538,0.0019538,0.0019538
9,377.139,0.74248,0.90113,1.11257,0.92793,0.66933,0.71636,0.66418,0.83588,1.22023,1.18227,0.0019472,0.0019472,0.0019472
10,424.79,0.68688,0.85767,1.07951,0.95695,0.66497,0.73679,0.67556,0.78037,1.13544,1.11346,0.0019406,0.0019406,0.0019406
11,469.947,0.71579,0.84492,1.08573,0.86551,0.67151,0.71114,0.66585,0.82977,1.58103,1.18209,0.001934,0.001934,0.001934
12,516.882,0.6982,0.84454,1.08677,0.96081,0.67515,0.74387,0.6811,0.81277,1.16936,1.148,0.0019274,0.0019274,0.0019274
13,563.908,0.69478,0.83628,1.08304,0.95119,0.67369,0.74704,0.69117,0.72684,1.14951,1.08964,0.0019208,0.0019208,0.0019208
14,611.043,0.69951,0.85602,1.09297,0.96112,0.66642,0.74676,0.68491,0.7302,1.29215,1.10088,0.0019142,0.0019142,0.0019142
15,658.349,0.67396,0.79944,1.07908,0.89969,0.67006,0.7428,0.68826,0.76742,1.09558,1.13182,0.0019076,0.0019076,0.0019076
16,706.671,0.66153,0.76303,1.06382,0.94018,0.67392,0.7633,0.69794,0.72143,1.55212,1.08529,0.001901,0.001901,0.001901
17,753.841,0.60885,0.71722,1.04182,0.9258,0.6686,0.75437,0.69787,0.75643,1.22762,1.12917,0.0018944,0.0018944,0.0018944
18,800.623,0.63948,0.73278,1.05634,0.9629,0.67733,0.76771,0.70959,0.66201,1.00062,1.04769,0.0018878,0.0018878,0.0018878
19,848.018,0.65395,0.75166,1.05559,0.92627,0.6756,0.75595,0.7021,0.72186,1.13681,1.09088,0.0018812,0.0018812,0.0018812
20,896.399,0.66183,0.7819,1.05898,0.94947,0.68605,0.78793,0.72168,0.70076,0.93391,1.05245,0.0018746,0.0018746,0.0018746
21,948.541,0.61506,0.7206,1.03992,0.9389,0.7036,0.78754,0.72061,0.69105,0.92629,1.05086,0.001868,0.001868,0.001868
22,997.298,0.60023,0.68878,1.02456,0.94489,0.69783,0.80588,0.73634,0.66165,0.92722,1.01984,0.0018614,0.0018614,0.0018614
23,1045.74,0.58495,0.67961,1.01902,0.94504,0.69767,0.81127,0.73614,0.64912,0.87838,1.01753,0.0018548,0.0018548,0.0018548
24,1094.12,0.61712,0.70646,1.03514,0.91045,0.7064,0.81872,0.74405,0.62546,0.86755,1.01406,0.0018482,0.0018482,0.0018482
25,1141.03,0.58129,0.67272,1.01097,0.94005,0.7282,0.82292,0.74728,0.61166,0.82901,0.99478,0.0018416,0.0018416,0.0018416
26,1189.95,0.5951,0.67057,1.02046,0.93004,0.73426,0.83101,0.75526,0.64372,0.97126,1.01646,0.001835,0.001835,0.001835
27,1238.46,0.57415,0.6701,1.01014,0.90049,0.71003,0.82325,0.75216,0.61243,1.24628,1.0027,0.0018284,0.0018284,0.0018284
28,1286.1,0.57344,0.6467,1.01648,0.94087,0.7282,0.84741,0.76898,0.58591,0.75774,0.98131,0.0018218,0.0018218,0.0018218
29,1333.87,0.57197,0.65298,1.00928,0.87944,0.72096,0.81598,0.74924,0.59846,0.87904,1.00763,0.0018152,0.0018152,0.0018152
30,1382.43,0.57762,0.65954,1.01986,0.93764,0.75145,0.86351,0.78702,0.56188,0.83325,0.95906,0.0018086,0.0018086,0.0018086
31,1431.16,0.58556,0.65436,1.02344,0.93221,0.70349,0.83722,0.76142,0.59579,0.80747,0.96629,0.001802,0.001802,0.001802
32,1478.31,0.54983,0.61909,0.99597,0.88525,0.76308,0.85434,0.77523,0.57517,0.73044,0.96177,0.0017954,0.0017954,0.0017954
33,1526.19,0.58609,0.65281,1.01626,0.94964,0.76742,0.87028,0.78287,0.56423,0.82071,0.9558,0.0017888,0.0017888,0.0017888
34,1574.31,0.55522,0.6225,1.00141,0.90796,0.74927,0.85321,0.7736,0.5703,0.6803,0.95468,0.0017822,0.0017822,0.0017822
35,1621.81,0.53766,0.57899,0.98315,0.93316,0.76235,0.87235,0.79024,0.54998,0.66435,0.93805,0.0017756,0.0017756,0.0017756
36,1670.9,0.54755,0.58658,0.9868,0.93324,0.78227,0.88173,0.79721,0.53208,0.6781,0.92575,0.001769,0.001769,0.001769
37,1718.7,0.54702,0.59956,0.99033,0.89327,0.78461,0.8719,0.7906,0.55108,0.69115,0.93312,0.0017624,0.0017624,0.0017624
38,1767.55,0.53799,0.58411,0.97909,0.88132,0.78706,0.8786,0.79271,0.53095,0.80525,0.93058,0.0017558,0.0017558,0.0017558
39,1823.74,0.5393,0.5753,0.98573,0.94348,0.80887,0.89802,0.80589,0.55431,0.60569,0.92832,0.0017492,0.0017492,0.0017492
40,1874.82,0.54908,0.58557,0.98097,0.95818,0.80959,0.90922,0.82003,0.50277,0.61072,0.90306,0.0017426,0.0017426,0.0017426
41,1923.1,0.53451,0.58305,0.98337,0.91799,0.79797,0.88717,0.80585,0.51476,0.63547,0.91322,0.001736,0.001736,0.001736
42,1971.86,0.52943,0.5657,0.98246,0.91541,0.81794,0.90491,0.81494,0.52057,0.65405,0.90774,0.0017294,0.0017294,0.0017294
43,2020.33,0.51839,0.55972,0.97415,0.91337,0.83515,0.91594,0.82767,0.49888,0.58057,0.8996,0.0017228,0.0017228,0.0017228
44,2068.19,0.50636,0.53695,0.96533,0.92539,0.81977,0.91599,0.82888,0.49092,0.61221,0.88147,0.0017162,0.0017162,0.0017162
45,2117.55,0.51312,0.54087,0.96352,0.93973,0.82718,0.9186,0.82879,0.51234,0.57933,0.90997,0.0017096,0.0017096,0.0017096
46,2166.02,0.53263,0.54899,0.97496,0.90785,0.84481,0.92751,0.83775,0.49577,0.54224,0.89137,0.001703,0.001703,0.001703
47,2214.72,0.5267,0.53966,0.96783,0.96488,0.82631,0.93531,0.84444,0.49481,0.51824,0.88692,0.0016964,0.0016964,0.0016964
48,2262.65,0.52811,0.55093,0.97921,0.94511,0.84666,0.9353,0.84479,0.47447,0.55285,0.88119,0.0016898,0.0016898,0.0016898
49,2312.21,0.52569,0.55674,0.97182,0.94247,0.83347,0.92672,0.83559,0.48512,0.51752,0.88284,0.0016832,0.0016832,0.0016832
50,2360.46,0.52064,0.53592,0.97581,0.93642,0.83494,0.935,0.84939,0.45626,0.4972,0.86602,0.0016766,0.0016766,0.0016766
51,2408.96,0.51469,0.5249,0.96016,0.94004,0.84311,0.93769,0.85373,0.45706,0.4979,0.85545,0.00167,0.00167,0.00167
52,2457.86,0.49266,0.49486,0.94668,0.9285,0.86825,0.93769,0.85354,0.45894,0.49345,0.8646,0.0016634,0.0016634,0.0016634
53,2507.12,0.4901,0.50324,0.9526,0.935,0.84956,0.93131,0.85137,0.44491,0.48996,0.85017,0.0016568,0.0016568,0.0016568
54,2556.74,0.5012,0.49727,0.95869,0.95622,0.85174,0.94749,0.86178,0.45364,0.46764,0.85791,0.0016502,0.0016502,0.0016502
55,2605.93,0.49073,0.50403,0.94729,0.95431,0.86517,0.94629,0.8626,0.44074,0.45313,0.84149,0.0016436,0.0016436,0.0016436
56,2653.98,0.48214,0.47539,0.94134,0.91729,0.86846,0.94207,0.84514,0.48746,0.49599,0.87942,0.001637,0.001637,0.001637
57,2703.71,0.48474,0.47315,0.94545,0.94046,0.86091,0.94364,0.86593,0.42779,0.48189,0.84671,0.0016304,0.0016304,0.0016304
58,2752.13,0.4725,0.47091,0.93492,0.95496,0.86555,0.9467,0.86166,0.45044,0.47786,0.85602,0.0016238,0.0016238,0.0016238
59,2800.87,0.48752,0.48008,0.94355,0.94541,0.88095,0.95194,0.86508,0.43653,0.52123,0.84584,0.0016172,0.0016172,0.0016172
60,2849.3,0.48091,0.46823,0.93593,0.91388,0.88881,0.94394,0.86208,0.44052,0.494,0.84742,0.0016106,0.0016106,0.0016106
61,2898.04,0.47939,0.45871,0.93881,0.98536,0.88074,0.96011,0.88108,0.39721,0.39162,0.82661,0.001604,0.001604,0.001604
62,2947.35,0.47804,0.46567,0.9342,0.96677,0.88081,0.95628,0.87968,0.4055,0.6951,0.82624,0.0015974,0.0015974,0.0015974
63,2996.09,0.49784,0.49223,0.94791,0.95319,0.89535,0.96091,0.88095,0.41299,0.38163,0.8268,0.0015908,0.0015908,0.0015908
64,3051.91,0.46606,0.45473,0.92986,0.94671,0.87786,0.95643,0.87358,0.42654,0.39915,0.83083,0.0015842,0.0015842,0.0015842
65,3108.85,0.48385,0.46851,0.94071,0.94518,0.89898,0.96161,0.87594,0.43371,0.39783,0.84259,0.0015776,0.0015776,0.0015776
66,3159.19,0.46552,0.44872,0.93052,0.97126,0.87645,0.96249,0.88245,0.40889,0.41289,0.82411,0.001571,0.001571,0.001571
67,3207.17,0.47881,0.46743,0.94234,0.96515,0.89026,0.96411,0.88886,0.39359,0.42986,0.81818,0.0015644,0.0015644,0.0015644
68,3256.74,0.47035,0.45105,0.92933,0.95983,0.90288,0.9688,0.8822,0.40559,0.44941,0.82304,0.0015578,0.0015578,0.0015578
69,3305.37,0.47198,0.45935,0.9345,0.96213,0.90843,0.96626,0.8915,0.38282,0.40538,0.81252,0.0015512,0.0015512,0.0015512
70,3355.1,0.47414,0.46106,0.93625,0.95326,0.9157,0.97321,0.89439,0.38851,0.36623,0.8068,0.0015446,0.0015446,0.0015446
71,3403.67,0.47002,0.45639,0.93559,0.94058,0.92032,0.97012,0.89384,0.39069,0.36047,0.80991,0.001538,0.001538,0.001538
72,3452.48,0.44501,0.42329,0.91257,0.955,0.91,0.97255,0.89524,0.38371,0.3422,0.81059,0.0015314,0.0015314,0.0015314
73,3503.26,0.44652,0.42735,0.92561,0.95812,0.9077,0.97232,0.89906,0.37181,0.36064,0.80121,0.0015248,0.0015248,0.0015248
74,3559.68,0.45281,0.42564,0.9177,0.97334,0.90205,0.97395,0.89942,0.37372,0.33898,0.80219,0.0015182,0.0015182,0.0015182
75,3610.17,0.45025,0.43194,0.91941,0.95384,0.91611,0.97207,0.89353,0.38093,0.35677,0.80687,0.0015116,0.0015116,0.0015116
76,3658.95,0.44748,0.43155,0.91788,0.95485,0.92442,0.97382,0.90636,0.35605,0.33235,0.79429,0.001505,0.001505,0.001505
77,3707.75,0.46875,0.44325,0.92933,0.96761,0.90625,0.97473,0.89808,0.3837,0.39345,0.80874,0.0014984,0.0014984,0.0014984
78,3757.31,0.45148,0.42123,0.92287,0.95543,0.9348,0.9767,0.90724,0.3575,0.34461,0.79265,0.0014918,0.0014918,0.0014918
79,3806.14,0.4504,0.42114,0.92585,0.95949,0.93459,0.97907,0.90777,0.36314,0.32246,0.7902,0.0014852,0.0014852,0.0014852
80,3854.55,0.44023,0.42304,0.91716,0.95228,0.92805,0.97675,0.90543,0.36307,0.31212,0.79171,0.0014786,0.0014786,0.0014786
81,3903.05,0.43735,0.4157,0.91341,0.96583,0.92445,0.97656,0.90677,0.35348,0.3132,0.79274,0.001472,0.001472,0.001472
82,3953.33,0.43442,0.40473,0.90691,0.96295,0.93387,0.97516,0.90396,0.36196,0.32904,0.79329,0.0014654,0.0014654,0.0014654
83,3997.29,0.42933,0.4053,0.90821,0.95835,0.92151,0.9739,0.9055,0.35815,0.33404,0.7906,0.0014588,0.0014588,0.0014588
84,4039.34,0.44679,0.41712,0.91843,0.97614,0.91279,0.97701,0.9091,0.35823,0.306,0.79407,0.0014522,0.0014522,0.0014522
85,4078.44,0.42399,0.3882,0.91122,0.97977,0.94041,0.98294,0.92002,0.3362,0.29923,0.78144,0.0014456,0.0014456,0.0014456
86,4117.8,0.42531,0.3877,0.90501,0.96305,0.92804,0.97841,0.90642,0.35985,0.30777,0.78954,0.001439,0.001439,0.001439
87,4156.6,0.43421,0.4049,0.91236,0.96627,0.93689,0.98154,0.91725,0.33954,0.30261,0.78786,0.0014324,0.0014324,0.0014324
88,4195.57,0.44118,0.41781,0.91628,0.96355,0.92224,0.97946,0.909,0.36176,0.3191,0.79417,0.0014258,0.0014258,0.0014258
89,4235.83,0.4382,0.40226,0.90834,0.96915,0.93387,0.98263,0.91275,0.35394,0.30689,0.78777,0.0014192,0.0014192,0.0014192
90,4274.83,0.437,0.39835,0.91208,0.98327,0.93951,0.98464,0.92543,0.32919,0.28107,0.77783,0.0014126,0.0014126,0.0014126
91,4313.48,0.44276,0.40305,0.91426,0.97545,0.94186,0.98523,0.91604,0.34756,0.34136,0.78452,0.001406,0.001406,0.001406
92,4352.06,0.43086,0.38566,0.91061,0.97681,0.93895,0.9835,0.91807,0.33535,0.28378,0.78044,0.0013994,0.0013994,0.0013994
93,4389.9,0.4179,0.39115,0.91011,0.97158,0.94421,0.98521,0.92523,0.31565,0.29047,0.77628,0.0013928,0.0013928,0.0013928
94,4430.42,0.42051,0.37965,0.90242,0.97448,0.94349,0.98501,0.92221,0.32438,0.30193,0.7759,0.0013862,0.0013862,0.0013862
95,4469.48,0.43403,0.39493,0.90465,0.98095,0.93561,0.98466,0.92302,0.3108,0.29317,0.77046,0.0013796,0.0013796,0.0013796
96,4508.51,0.43158,0.38562,0.90942,0.97465,0.94331,0.98514,0.92277,0.32714,0.27463,0.77895,0.001373,0.001373,0.001373
97,4546.58,0.41729,0.37795,0.90148,0.98164,0.93968,0.98516,0.92306,0.31783,0.28216,0.77619,0.0013664,0.0013664,0.0013664
98,4584.92,0.40206,0.37732,0.89399,0.96994,0.94695,0.98376,0.92562,0.30761,0.28517,0.76957,0.0013598,0.0013598,0.0013598
99,4622.95,0.41892,0.3813,0.90075,0.97955,0.94404,0.98645,0.92862,0.30195,0.27764,0.76599,0.0013532,0.0013532,0.0013532
100,4660.42,0.41225,0.3703,0.89982,0.97092,0.94647,0.98614,0.92491,0.30897,0.29607,0.76879,0.0013466,0.0013466,0.0013466
101,4698.75,0.41049,0.38757,0.90037,0.97039,0.92884,0.98477,0.92854,0.30496,0.27706,0.76972,0.00134,0.00134,0.00134
102,4737.28,0.41207,0.36642,0.89246,0.97597,0.94445,0.9872,0.93386,0.29769,0.28953,0.76188,0.0013334,0.0013334,0.0013334
103,4775.06,0.39837,0.3634,0.89361,0.98211,0.94113,0.98823,0.93505,0.30308,0.25698,0.76384,0.0013268,0.0013268,0.0013268
104,4812.55,0.4179,0.37411,0.90244,0.98465,0.95567,0.98768,0.93178,0.30231,0.29084,0.763,0.0013202,0.0013202,0.0013202
105,4850.78,0.41437,0.37217,0.89528,0.98522,0.94041,0.98671,0.92487,0.32203,0.27992,0.77449,0.0013136,0.0013136,0.0013136
106,4888.92,0.41379,0.38807,0.90473,0.98784,0.94494,0.98744,0.93386,0.29458,0.26122,0.76059,0.001307,0.001307,0.001307
107,4926.89,0.40703,0.36909,0.89014,0.98033,0.9484,0.98797,0.93498,0.29443,0.2496,0.76023,0.0013004,0.0013004,0.0013004
108,4964.51,0.41498,0.36775,0.90107,0.9784,0.95479,0.98873,0.92827,0.30655,0.25807,0.76486,0.0012938,0.0012938,0.0012938
109,5003.4,0.40119,0.3683,0.88873,0.97656,0.95131,0.98758,0.93207,0.29748,0.31556,0.76166,0.0012872,0.0012872,0.0012872
110,5041.19,0.40062,0.36384,0.89565,0.9819,0.94186,0.98787,0.93657,0.28353,0.25757,0.75915,0.0012806,0.0012806,0.0012806
111,5079.79,0.40674,0.36654,0.89389,0.98409,0.95349,0.98924,0.93703,0.28533,0.25705,0.76054,0.001274,0.001274,0.001274
112,5120.05,0.39706,0.36556,0.88458,0.97702,0.95789,0.98754,0.93404,0.29928,0.27681,0.75682,0.0012674,0.0012674,0.0012674
113,5158.86,0.40278,0.35691,0.89479,0.97981,0.95205,0.98951,0.93444,0.30299,0.27005,0.76184,0.0012608,0.0012608,0.0012608
114,5196.24,0.41024,0.37956,0.89854,0.98142,0.95993,0.98921,0.93581,0.28705,0.255,0.75842,0.0012542,0.0012542,0.0012542
115,5234.62,0.40244,0.36266,0.88635,0.9753,0.9469,0.989,0.94113,0.27638,0.31652,0.75179,0.0012476,0.0012476,0.0012476
116,5272.9,0.40622,0.35355,0.89365,0.98271,0.95012,0.98927,0.93872,0.28187,0.24927,0.7566,0.001241,0.001241,0.001241
117,5310.77,0.39691,0.35522,0.88875,0.97612,0.95567,0.98899,0.94215,0.27209,0.23772,0.7487,0.0012344,0.0012344,0.0012344
118,5349.37,0.38585,0.34339,0.88617,0.97481,0.95608,0.9896,0.94031,0.27711,0.24319,0.75315,0.0012278,0.0012278,0.0012278
119,5387.55,0.38731,0.35248,0.88733,0.9828,0.9564,0.99045,0.94136,0.27122,0.23,0.7529,0.0012212,0.0012212,0.0012212
120,5425.16,0.39199,0.35296,0.88632,0.97483,0.96584,0.99178,0.94021,0.27967,0.23088,0.75332,0.0012146,0.0012146,0.0012146
121,5464.51,0.38501,0.33501,0.88104,0.98429,0.9593,0.99122,0.94479,0.27291,0.23887,0.75193,0.001208,0.001208,0.001208
122,5502.64,0.39799,0.34987,0.88458,0.9829,0.96102,0.99075,0.94062,0.27234,0.23262,0.74982,0.0012014,0.0012014,0.0012014
123,5540.71,0.39,0.34839,0.88255,0.98215,0.95958,0.99015,0.94186,0.27626,0.23164,0.75199,0.0011948,0.0011948,0.0011948
124,5579.96,0.3723,0.32865,0.88465,0.98712,0.96948,0.99185,0.94645,0.26328,0.23206,0.74774,0.0011882,0.0011882,0.0011882
125,5618.22,0.39391,0.35224,0.88658,0.97856,0.96195,0.99109,0.94588,0.26924,0.22761,0.74998,0.0011816,0.0011816,0.0011816
126,5655.46,0.39597,0.351,0.88896,0.97726,0.96812,0.99172,0.94673,0.26121,0.23661,0.75042,0.001175,0.001175,0.001175
127,5693.32,0.37247,0.32261,0.88075,0.98301,0.96712,0.99205,0.94703,0.25985,0.23976,0.74699,0.0011684,0.0011684,0.0011684
128,5731.81,0.39535,0.34492,0.8859,0.97875,0.97067,0.99274,0.951,0.2565,0.23801,0.7433,0.0011618,0.0011618,0.0011618
129,5770.09,0.37295,0.33193,0.88055,0.99104,0.96506,0.99203,0.946,0.25981,0.23243,0.74324,0.0011552,0.0011552,0.0011552
130,5806.99,0.37606,0.33405,0.87784,0.98464,0.96875,0.99168,0.94895,0.26089,0.21428,0.74303,0.0011486,0.0011486,0.0011486
131,5846.25,0.36027,0.31969,0.87674,0.98788,0.96003,0.9924,0.94734,0.25499,0.23737,0.74423,0.001142,0.001142,0.001142
132,5884.36,0.37228,0.33352,0.87708,0.98323,0.9673,0.99233,0.95124,0.24701,0.27686,0.74181,0.0011354,0.0011354,0.0011354
133,5924.1,0.36285,0.32425,0.87725,0.98358,0.96802,0.99268,0.94862,0.25382,0.22909,0.74218,0.0011288,0.0011288,0.0011288
134,5962.16,0.38781,0.34448,0.88257,0.98857,0.96512,0.99278,0.95013,0.24819,0.21067,0.74187,0.0011222,0.0011222,0.0011222
